day,Date,time,open,high,low,close,index
Thursday,2020-01-02,01:00:00,1.1218,1.1224,1.1215,1.122,283
Thursday,2020-01-02,02:00:00,1.1221,1.1224,1.1217,1.1222,282
Thursday,2020-01-02,03:00:00,1.1222,1.1223,1.1211,1.1213,281
Thursday,2020-01-02,04:00:00,1.1213,1.1214,1.1199,1.1201,280
Thursday,2020-01-02,05:00:00,1.1201,1.1204,1.1199,1.1204,279
Thursday,2020-01-02,06:00:00,1.1204,1.1208,1.1202,1.1208,278
Thursday,2020-01-02,07:00:00,1.1208,1.121,1.1203,1.1209,277
Thursday,2020-01-02,08:00:00,1.121,1.1214,1.1204,1.1212,276
Thursday,2020-01-02,09:00:00,1.1211,1.1214,1.1199,1.1203,275
Thursday,2020-01-02,10:00:00,1.1203,1.1204,1.1191,1.1198,274
Thursday,2020-01-02,11:00:00,1.1198,1.1202,1.1182,1.1185,273
Thursday,2020-01-02,12:00:00,1.1185,1.1194,1.1181,1.1193,272
Thursday,2020-01-02,13:00:00,1.1193,1.1197,1.1189,1.1196,271
Thursday,2020-01-02,14:00:00,1.1196,1.1197,1.1168,1.1174,270
Thursday,2020-01-02,15:00:00,1.1174,1.1202,1.1169,1.1201,269
Thursday,2020-01-02,16:00:00,1.1201,1.1203,1.1164,1.1166,268
Thursday,2020-01-02,17:00:00,1.1166,1.1172,1.1162,1.117,267
Thursday,2020-01-02,18:00:00,1.117,1.1172,1.1162,1.117,266
Thursday,2020-01-02,19:00:00,1.117,1.117,1.1163,1.1166,265
Thursday,2020-01-02,20:00:00,1.1166,1.1172,1.1164,1.1169,264
Thursday,2020-01-02,21:00:00,1.1169,1.1174,1.1167,1.1172,263
Thursday,2020-01-02,22:00:00,1.1172,1.1173,1.1168,1.1171,262
Thursday,2020-01-02,23:00:00,1.1171,1.1174,1.1168,1.1171,261
Thursday,2020-01-09,00:00:00,1.1113,1.1116,1.1107,1.1113,164
Thursday,2020-01-09,01:00:00,1.1113,1.1119,1.1109,1.1117,163
Thursday,2020-01-09,02:00:00,1.1117,1.1119,1.1113,1.1115,162
Thursday,2020-01-09,03:00:00,1.1115,1.1118,1.1113,1.1115,161
Thursday,2020-01-09,04:00:00,1.1115,1.1116,1.1111,1.1115,160
Thursday,2020-01-09,05:00:00,1.1115,1.1119,1.1113,1.1118,159
Thursday,2020-01-09,06:00:00,1.1118,1.1119,1.1109,1.1112,158
Thursday,2020-01-09,07:00:00,1.1113,1.112,1.1109,1.1115,157
Thursday,2020-01-09,08:00:00,1.1115,1.1118,1.1103,1.1117,156
Thursday,2020-01-09,09:00:00,1.1117,1.1119,1.1097,1.1099,155
Thursday,2020-01-09,10:00:00,1.1099,1.1112,1.1095,1.111,154
Thursday,2020-01-09,11:00:00,1.111,1.1113,1.1101,1.1104,153
Thursday,2020-01-09,12:00:00,1.1103,1.1117,1.1102,1.1113,152
Thursday,2020-01-09,13:00:00,1.1114,1.1117,1.1105,1.1115,151
Thursday,2020-01-09,14:00:00,1.1115,1.1115,1.1102,1.1108,150
Thursday,2020-01-09,15:00:00,1.1108,1.1111,1.1092,1.1102,149
Thursday,2020-01-09,16:00:00,1.1102,1.1106,1.1093,1.1106,148
Thursday,2020-01-09,17:00:00,1.1106,1.1112,1.1102,1.1105,147
Thursday,2020-01-09,18:00:00,1.1105,1.1109,1.1102,1.1105,146
Thursday,2020-01-09,19:00:00,1.1105,1.111,1.1103,1.1106,145
Thursday,2020-01-09,20:00:00,1.1106,1.1107,1.1102,1.1106,144
Thursday,2020-01-09,21:00:00,1.1106,1.1107,1.1102,1.1105,143
Thursday,2020-01-09,22:00:00,1.1106,1.1107,1.1101,1.1106,142
Thursday,2020-01-09,23:00:00,1.1106,1.1109,1.1105,1.1109,141
Thursday,2020-01-16,00:00:00,1.1153,1.1158,1.115,1.1155,44
Thursday,2020-01-16,01:00:00,1.1155,1.1155,1.1151,1.1154,43
Thursday,2020-01-16,02:00:00,1.1154,1.1154,1.1149,1.1152,42
Thursday,2020-01-16,03:00:00,1.1152,1.1155,1.1149,1.1152,41
Thursday,2020-01-16,04:00:00,1.1153,1.1154,1.1149,1.1151,40
Thursday,2020-01-16,05:00:00,1.1151,1.1153,1.1148,1.115,39
Thursday,2020-01-16,06:00:00,1.115,1.1151,1.1143,1.115,38
Thursday,2020-01-16,07:00:00,1.115,1.1153,1.1143,1.1148,37
Thursday,2020-01-16,08:00:00,1.1148,1.1164,1.1145,1.1156,36
Thursday,2020-01-16,09:00:00,1.1156,1.1159,1.1149,1.1153,35
Thursday,2020-01-16,10:00:00,1.1154,1.1163,1.1151,1.1157,34
Thursday,2020-01-16,11:00:00,1.1158,1.1161,1.1154,1.1159,33
Thursday,2020-01-16,12:00:00,1.1159,1.1173,1.1155,1.1165,32
Thursday,2020-01-16,13:00:00,1.1165,1.117,1.1148,1.1151,31
Thursday,2020-01-16,14:00:00,1.1151,1.116,1.1139,1.1141,30
Thursday,2020-01-16,15:00:00,1.1141,1.1147,1.1129,1.1141,29
Thursday,2020-01-16,16:00:00,1.1141,1.1142,1.1127,1.113,28
Thursday,2020-01-16,17:00:00,1.113,1.1136,1.1128,1.1135,27
Thursday,2020-01-16,18:00:00,1.1135,1.1136,1.113,1.1135,26
Thursday,2020-01-16,19:00:00,1.1135,1.1136,1.113,1.1135,25
Thursday,2020-01-16,20:00:00,1.1135,1.1138,1.1133,1.1138,24
Thursday,2020-01-16,21:00:00,1.1138,1.1138,1.1133,1.1136,23
Thursday,2020-01-16,22:00:00,1.1137,1.1138,1.1133,1.1137,22
Thursday,2020-01-16,23:00:00,1.1137,1.1138,1.1134,1.1137,21
Tuesday,2020-01-07,00:00:00,1.1195,1.1196,1.1188,1.119,212
Tuesday,2020-01-07,01:00:00,1.119,1.1197,1.1188,1.1193,211
Tuesday,2020-01-07,02:00:00,1.1194,1.1194,1.1189,1.1191,210
Tuesday,2020-01-07,03:00:00,1.1191,1.1194,1.119,1.1192,209
Tuesday,2020-01-07,04:00:00,1.1192,1.1194,1.1189,1.1191,208
Tuesday,2020-01-07,05:00:00,1.1191,1.1193,1.1181,1.1183,207
Tuesday,2020-01-07,06:00:00,1.1182,1.119,1.118,1.1182,206
Tuesday,2020-01-07,07:00:00,1.1182,1.1185,1.1171,1.1174,205
Tuesday,2020-01-07,08:00:00,1.1174,1.1187,1.1171,1.1184,204
Tuesday,2020-01-07,09:00:00,1.1185,1.119,1.1179,1.1184,203
Tuesday,2020-01-07,10:00:00,1.1184,1.1186,1.1164,1.1176,202
Tuesday,2020-01-07,11:00:00,1.1176,1.1185,1.117,1.1182,201
Tuesday,2020-01-07,12:00:00,1.1182,1.1183,1.1169,1.1175,200
Tuesday,2020-01-07,13:00:00,1.1175,1.1178,1.1153,1.1156,199
