,index,date,open,high,low,close,Day of Week
80,67,2020-01-14 00:00:00,1.1134,1.1142,1.1132,1.1138,Tuesday
81,66,2020-01-14 01:00:00,1.1138,1.1141,1.113,1.1136,Tuesday
82,65,2020-01-14 02:00:00,1.1137,1.1139,1.1134,1.1137,Tuesday
83,64,2020-01-14 03:00:00,1.1137,1.1139,1.1133,1.1136,Tuesday
84,63,2020-01-14 04:00:00,1.1136,1.1138,1.1134,1.1136,Tuesday
85,62,2020-01-14 05:00:00,1.1137,1.1139,1.1134,1.1137,Tuesday
86,61,2020-01-14 06:00:00,1.1137,1.1145,1.1133,1.1144,Tuesday
87,60,2020-01-14 07:00:00,1.1144,1.1144,1.1136,1.1143,Tuesday
88,59,2020-01-14 08:00:00,1.1142,1.1144,1.1132,1.1135,Tuesday
89,58,2020-01-14 09:00:00,1.1135,1.1136,1.1128,1.1131,Tuesday
90,57,2020-01-14 10:00:00,1.1131,1.1135,1.1126,1.1134,Tuesday
91,56,2020-01-14 11:00:00,1.1133,1.1135,1.1124,1.113,Tuesday
92,55,2020-01-14 12:00:00,1.113,1.113,1.1118,1.1121,Tuesday
93,54,2020-01-14 13:00:00,1.1121,1.1121,1.1104,1.111,Tuesday
94,53,2020-01-14 14:00:00,1.111,1.1123,1.1103,1.1122,Tuesday
95,52,2020-01-14 15:00:00,1.1122,1.1123,1.1112,1.1122,Tuesday
96,51,2020-01-14 16:00:00,1.1122,1.1131,1.1119,1.1129,Tuesday
97,50,2020-01-14 17:00:00,1.113,1.1133,1.1126,1.1131,Tuesday
98,49,2020-01-14 18:00:00,1.1131,1.1135,1.1128,1.1131,Tuesday
99,48,2020-01-14 19:00:00,1.1131,1.1133,1.1126,1.1127,Tuesday
100,47,2020-01-14 20:00:00,1.1128,1.113,1.1125,1.1128,Tuesday
101,46,2020-01-14 21:00:00,1.1128,1.1128,1.1123,1.1127,Tuesday
102,45,2020-01-14 22:00:00,1.1127,1.1129,1.1124,1.1126,Tuesday
103,44,2020-01-14 23:00:00,1.1126,1.1128,1.1124,1.1127,Tuesday
104,379,2020-01-01 00:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
105,378,2020-01-01 01:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
106,377,2020-01-01 02:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
107,376,2020-01-01 03:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
108,375,2020-01-01 04:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
109,374,2020-01-01 05:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
110,373,2020-01-01 06:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
111,372,2020-01-01 07:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
112,371,2020-01-01 08:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
113,370,2020-01-01 09:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
114,369,2020-01-01 10:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
115,368,2020-01-01 11:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
116,367,2020-01-01 12:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
117,366,2020-01-01 13:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
118,365,2020-01-01 14:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
119,364,2020-01-01 15:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
120,363,2020-01-01 16:00:00,1.1212,1.1212,1.1212,1.1212,Wednesday
121,362,2020-01-01 17:00:00,1.1215,1.1215,1.1215,1.1215,Wednesday
122,361,2020-01-01 18:00:00,1.1208,1.1221,1.1208,1.1212,Wednesday
123,360,2020-01-01 19:00:00,1.1213,1.1216,1.1212,1.1213,Wednesday
124,359,2020-01-01 20:00:00,1.1213,1.1218,1.121,1.1213,Wednesday
125,358,2020-01-01 21:00:00,1.1212,1.1214,1.1208,1.1212,Wednesday
126,357,2020-01-01 22:00:00,1.1212,1.1217,1.1208,1.1215,Wednesday
127,356,2020-01-01 23:00:00,1.1215,1.1222,1.1212,1.1219,Wednesday
128,211,2020-01-08 00:00:00,1.1154,1.1168,1.1151,1.1159,Wednesday
129,210,2020-01-08 01:00:00,1.1159,1.1163,1.1153,1.1156,Wednesday
130,209,2020-01-08 02:00:00,1.1156,1.1161,1.1151,1.1159,Wednesday
131,208,2020-01-08 03:00:00,1.1159,1.1159,1.1152,1.1155,Wednesday
132,207,2020-01-08 04:00:00,1.1155,1.1156,1.1143,1.1148,Wednesday
133,206,2020-01-08 05:00:00,1.1148,1.1151,1.1145,1.1148,Wednesday
134,205,2020-01-08 06:00:00,1.1149,1.1154,1.1147,1.115,Wednesday
135,204,2020-01-08 07:00:00,1.115,1.1155,1.1142,1.115,Wednesday
136,203,2020-01-08 08:00:00,1.1151,1.1153,1.1128,1.1135,Wednesday
137,202,2020-01-08 09:00:00,1.1135,1.1145,1.1124,1.1138,Wednesday
138,201,2020-01-08 10:00:00,1.1138,1.1139,1.1124,1.1127,Wednesday
139,200,2020-01-08 11:00:00,1.1127,1.1131,1.1119,1.1127,Wednesday
140,199,2020-01-08 12:00:00,1.1127,1.1131,1.1113,1.1117,Wednesday
141,198,2020-01-08 13:00:00,1.1117,1.1122,1.111,1.112,Wednesday
142,197,2020-01-08 14:00:00,1.112,1.1127,1.1116,1.1124,Wednesday
143,196,2020-01-08 15:00:00,1.1125,1.1131,1.1114,1.112,Wednesday
144,195,2020-01-08 16:00:00,1.112,1.112,1.1107,1.1116,Wednesday
145,194,2020-01-08 17:00:00,1.1116,1.1126,1.1111,1.1118,Wednesday
146,193,2020-01-08 18:00:00,1.1118,1.1118,1.1109,1.1113,Wednesday
147,192,2020-01-08 19:00:00,1.1113,1.1114,1.1107,1.1111,Wednesday
148,191,2020-01-08 20:00:00,1.1111,1.1115,1.1108,1.1112,Wednesday
149,190,2020-01-08 21:00:00,1.1112,1.1113,1.11,1.1105,Wednesday
150,189,2020-01-08 22:00:00,1.1105,1.1115,1.1102,1.111,Wednesday
151,188,2020-01-08 23:00:00,1.111,1.1113,1.1105,1.1112,Wednesday
152,43,2020-01-15 00:00:00,1.1128,1.1131,1.1125,1.113,Wednesday
153,42,2020-01-15 01:00:00,1.113,1.1131,1.1125,1.113,Wednesday
154,41,2020-01-15 02:00:00,1.1128,1.1131,1.1125,1.1129,Wednesday
155,40,2020-01-15 03:00:00,1.1129,1.1131,1.1126,1.113,Wednesday
156,39,2020-01-15 04:00:00,1.113,1.1134,1.1128,1.1133,Wednesday
157,38,2020-01-15 05:00:00,1.1133,1.1135,1.113,1.1134,Wednesday
158,37,2020-01-15 06:00:00,1.1134,1.1137,1.113,1.1134,Wednesday
159,36,2020-01-15 07:00:00,1.1136,1.1137,1.1125,1.1128,Wednesday
160,35,2020-01-15 08:00:00,1.1128,1.1131,1.1117,1.113,Wednesday
161,34,2020-01-15 09:00:00,1.113,1.1134,1.1124,1.1128,Wednesday
162,33,2020-01-15 10:00:00,1.1128,1.1139,1.1123,1.1139,Wednesday
163,32,2020-01-15 11:00:00,1.1138,1.1155,1.1137,1.1148,Wednesday
164,31,2020-01-15 12:00:00,1.1148,1.1153,1.1138,1.1141,Wednesday
165,30,2020-01-15 13:00:00,1.1141,1.1149,1.1138,1.1148,Wednesday
166,29,2020-01-15 14:00:00,1.1149,1.1163,1.1147,1.1152,Wednesday
167,28,2020-01-15 15:00:00,1.1152,1.1155,1.1141,1.1152,Wednesday
168,27,2020-01-15 16:00:00,1.1152,1.116,1.1148,1.1159,Wednesday
169,26,2020-01-15 17:00:00,1.1159,1.1161,1.1154,1.1157,Wednesday
170,25,2020-01-15 18:00:00,1.1158,1.116,1.1148,1.1152,Wednesday
171,24,2020-01-15 19:00:00,1.1152,1.1154,1.1147,1.1151,Wednesday
172,23,2020-01-15 20:00:00,1.1151,1.1153,1.1146,1.1152,Wednesday
173,22,2020-01-15 21:00:00,1.1152,1.1153,1.1146,1.115,Wednesday
174,21,2020-01-15 22:00:00,1.115,1.1154,1.1147,1.1152,Wednesday
175,20,2020-01-15 23:00:00,1.1152,1.1153,1.1148,1.1152,Wednesday
176,355,2020-01-02 00:00:00,1.1219,1.1219,1.1213,1.1218,Thursday
177,354,2020-01-02 01:00:00,1.1218,1.1224,1.1215,1.122,Thursday
178,353,2020-01-02 02:00:00,1.1221,1.1224,1.1217,1.1222,Thursday
179,352,2020-01-02 03:00:00,1.1222,1.1223,1.1211,1.1213,Thursday
180,351,2020-01-02 04:00:00,1.1213,1.1214,1.1199,1.1201,Thursday
181,350,2020-01-02 05:00:00,1.1201,1.1204,1.1199,1.1204,Thursday
182,349,2020-01-02 06:00:00,1.1204,1.1208,1.1202,1.1208,Thursday
183,348,2020-01-02 07:00:00,1.1208,1.121,1.1203,1.1209,Thursday
184,347,2020-01-02 08:00:00,1.121,1.1214,1.1204,1.1212,Thursday
185,346,2020-01-02 09:00:00,1.1211,1.1214,1.1199,1.1203,Thursday
186,345,2020-01-02 10:00:00,1.1203,1.1204,1.1191,1.1198,Thursday
187,344,2020-01-02 11:00:00,1.1198,1.1202,1.1182,1.1185,Thursday
188,343,2020-01-02 12:00:00,1.1185,1.1194,1.1181,1.1193,Thursday
189,342,2020-01-02 13:00:00,1.1193,1.1197,1.1189,1.1196,Thursday
190,341,2020-01-02 14:00:00,1.1196,1.1197,1.1168,1.1174,Thursday
191,340,2020-01-02 15:00:00,1.1174,1.1202,1.1169,1.1201,Thursday
